time,date,hour,open,high,close,low,volumefrom,volumeto
1650016800,2022-04-15,10,40123.47,40391.29,40274.73,40101.16,573.35,23065627.15
1650020400,2022-04-15,11,40274.73,40368.52,40221.08,40128.28,494.35,19883209.59
1650024000,2022-04-15,12,40221.08,40261.58,40155.07,40122.47,369.35,14845504.92
1650027600,2022-04-15,13,40155.07,40236.32,40050.56,40026.12,464.19,18634333.12
1650031200,2022-04-15,14,40050.56,40800.76,40452.11,39967.24,1504.83,60790626.75
1650034800,2022-04-15,15,40452.11,40569.91,40427.22,40370.28,850.79,34440991.16
1650038400,2022-04-15,16,40427.22,40455.29,40393.86,40244.56,861.57,34746698.87
1650042000,2022-04-15,17,40393.86,40646.06,40445.95,40375.02,949.28,38437072.93
1650045600,2022-04-15,18,40445.95,40475.83,40395.72,40377.0,498.68,20157732.55
1650049200,2022-04-15,19,40395.72,40406.83,40325.75,40303.86,488.39,19700748.58
1650052800,2022-04-15,20,40325.75,40413.37,40411.88,40286.5,464.99,18753140.75
1650056400,2022-04-15,21,40411.88,40469.81,40435.43,40380.01,288.94,11680583.37
1650060000,2022-04-15,22,40435.43,40513.26,40475.73,40359.85,353.7,14303311.52
1650063600,2022-04-15,23,40475.73,40607.2,40563.69,40422.09,433.73,17579298.04
1650067200,2022-04-16,0,40563.69,40586.55,40568.09,40476.89,422.12,17104145.98
1650070800,2022-04-16,1,40568.09,40698.01,40595.29,40541.02,416.25,16906209.06
1650074400,2022-04-16,2,40595.29,40607.51,40543.48,40523.93,204.17,8282988.78
1650078000,2022-04-16,3,40543.48,40543.79,40439.4,40420.4,356.13,14410806.76
1650081600,2022-04-16,4,40439.4,40569.1,40549.09,40429.83,219.49,8890009.16
1650085200,2022-04-16,5,40549.09,40549.6,40468.18,40403.7,331.23,13402179.38
1650088800,2022-04-16,6,40468.18,40469.68,40435.85,40393.71,255.84,10340893.53
1650092400,2022-04-16,7,40435.85,40459.87,40406.67,40385.94,139.54,5640435.89
1650096000,2022-04-16,8,40406.67,40457.88,40380.27,40357.85,152.26,6150822.13
1650099600,2022-04-16,9,40380.27,40423.01,40344.75,40301.81,291.53,11766020.74
1650103200,2022-04-16,10,40344.75,40493.11,40424.75,40325.89,283.16,11440670.39
1650106800,2022-04-16,11,40424.75,40502.8,40431.76,40406.59,243.24,9839283.94
1650110400,2022-04-16,12,40431.76,40484.49,40466.04,40362.16,266.27,10765129.5
1650114000,2022-04-16,13,40466.04,40475.55,40455.55,40399.64,231.95,9380577.01
1650117600,2022-04-16,14,40455.55,40514.21,40507.23,40413.8,263.16,10650416.35
1650121200,2022-04-16,15,40507.23,40585.46,40076.2,40019.08,1081.37,43523377.13
1650124800,2022-04-16,16,40076.2,40238.97,40216.47,40022.66,380.45,15272237.06
1650128400,2022-04-16,17,40216.47,40243.79,40159.66,40110.59,354.52,14240785.17
1650132000,2022-04-16,18,40159.66,40210.55,40203.77,40121.41,216.43,8692225.2
1650135600,2022-04-16,19,40203.77,40261.54,40233.99,40186.33,239.67,9641131.7
1650139200,2022-04-16,20,40233.99,40386.3,40303.6,40199.57,287.82,11590506.51
1650142800,2022-04-16,21,40303.6,40601.69,40506.1,40298.65,354.71,14347007.85
1650146400,2022-04-16,22,40506.1,40694.81,40422.77,40407.31,535.74,21731314.21
1650150000,2022-04-16,23,40422.77,40514.07,40392.55,40384.5,244.0,9866767.7
1650153600,2022-04-17,0,40392.55,40428.14,40392.86,40320.68,503.79,20361048.43
1650157200,2022-04-17,1,40392.86,40436.97,40405.68,40344.99,150.16,6066128.83
1650160800,2022-04-17,2,40405.68,40408.68,40189.17,40143.4,365.77,14725060.96
1650164400,2022-04-17,3,40189.17,40306.12,40256.75,40147.92,214.76,8641777.05
1650168000,2022-04-17,4,40256.75,40348.27,40302.25,40243.05,159.85,6443501.64
1650171600,2022-04-17,5,40302.25,40435.43,40389.43,40278.06,176.9,7136393.71
1650175200,2022-04-17,6,40389.43,40400.37,40338.23,40331.9,143.14,5777629.68
1650178800,2022-04-17,7,40338.23,40372.4,40300.84,40254.53,116.26,4686064.49
1650182400,2022-04-17,8,40300.84,40428.3,40408.98,40293.96,251.24,10143831.13
1650186000,2022-04-17,9,40408.98,40537.08,40435.67,40407.53,264.41,10702709.86
1650189600,2022-04-17,10,40435.67,40475.08,40432.11,40397.92,135.88,5494926.59
1650193200,2022-04-17,11,40432.11,40480.67,40480.07,40380.37,194.96,7882901.22
1650196800,2022-04-17,12,40480.07,40493.69,40442.38,40391.27,202.5,8189127.06
1650200400,2022-04-17,13,40442.38,40602.63,40320.67,40305.9,577.62,23376574.8
1650204000,2022-04-17,14,40320.67,40435.69,40361.92,40217.09,383.3,15462812.47
1650207600,2022-04-17,15,40361.92,40496.81,40464.56,40337.55,239.78,9691280.35
1650211200,2022-04-17,16,40464.56,40487.4,40227.9,40173.88,465.62,18798974.39
1650214800,2022-04-17,17,40227.9,40285.44,40117.01,40066.62,381.51,15334394.65
1650218400,2022-04-17,18,40117.01,40170.23,40132.3,39894.62,873.82,34962429.18
1650222000,2022-04-17,19,40132.3,40453.77,40385.96,40104.76,482.46,19438182.78
1650225600,2022-04-17,20,40385.96,40461.5,40274.78,40264.03,295.53,11932179.31
1650229200,2022-04-17,21,40274.78,40297.56,40217.06,40138.68,361.38,14530976.56
1650232800,2022-04-17,22,40217.06,40343.45,40008.27,39955.34,968.99,38921688.17
1650236400,2022-04-17,23,40008.27,40009.39,39688.16,39563.9,1791.44,71192606.22
1650240000,2022-04-18,0,39688.16,39773.36,39737.37,39594.56,854.81,33938047.11
1650243600,2022-04-18,1,39737.37,39833.44,39766.11,39680.57,512.82,20384157.38
1650247200,2022-04-18,2,39766.11,39838.43,39806.98,39742.18,349.53,13908117.94
1650250800,2022-04-18,3,39806.98,39886.27,39827.73,39760.91,304.18,12116454.13
1650254400,2022-04-18,4,39827.73,39861.02,38833.34,38757.3,3813.2,149052963.74
1650258000,2022-04-18,5,38833.34,38995.7,38939.37,38569.14,1492.54,57888990.0
1650261600,2022-04-18,6,38939.37,39075.54,39002.31,38902.51,560.37,21851378.28
1650265200,2022-04-18,7,39002.31,39067.07,38926.19,38814.77,892.31,34764514.0
1650268800,2022-04-18,8,38926.19,39069.07,38890.71,38867.55,555.53,21656912.1
1650272400,2022-04-18,9,38890.71,38994.25,38990.75,38819.24,727.16,28295732.04
1650276000,2022-04-18,10,38990.75,39128.3,38942.2,38936.9,527.65,20589688.17
1650279600,2022-04-18,11,38942.2,39111.15,39012.14,38941.23,584.06,22797068.91
1650283200,2022-04-18,12,39012.14,39479.91,39413.88,39012.14,1027.72,40351194.64
1650286800,2022-04-18,13,39413.88,39597.0,39339.46,39265.53,1320.64,52058660.94
1650290400,2022-04-18,14,39339.46,39573.31,39353.21,39319.83,1276.0,50326881.66
1650294000,2022-04-18,15,39353.21,39375.7,39270.8,39146.43,794.62,31189676.99
1650297600,2022-04-18,16,39270.8,39621.41,39480.36,39064.71,1244.4,48899476.32
1650301200,2022-04-18,17,39480.36,40351.99,40217.97,39474.1,2985.41,119423701.87
1650304800,2022-04-18,18,40217.97,41001.48,40650.61,40217.38,3227.77,131385639.31
1650308400,2022-04-18,19,40650.61,40738.74,40683.52,40424.63,1409.3,57167663.82
1650312000,2022-04-18,20,40683.52,40911.47,40670.91,40652.9,1245.4,50765076.66
1650315600,2022-04-18,21,40670.91,41096.46,40812.96,40670.91,870.04,35587329.76
1650319200,2022-04-18,22,40812.96,40934.52,40928.37,40727.86,575.1,23483102.02
1650322800,2022-04-18,23,40928.37,40977.89,40811.03,40739.88,570.96,23321705.8
1650326400,2022-04-19,0,40811.03,41262.92,40896.16,40805.89,1585.51,65023393.78
1650330000,2022-04-19,1,40896.16,40936.5,40761.83,40730.69,520.59,21255896.56
1650333600,2022-04-19,2,40761.83,40774.54,40617.49,40610.91,446.7,18182589.1
1650337200,2022-04-19,3,40617.49,40791.93,40703.71,40616.53,386.24,15727720.09
1650340800,2022-04-19,4,40703.71,40881.19,40868.99,40674.79,305.74,12468724.93
1650344400,2022-04-19,5,40868.99,40884.09,40677.87,40668.41,353.91,14420579.04
1650348000,2022-04-19,6,40677.87,40811.75,40722.35,40674.77,234.14,9539854.44
1650351600,2022-04-19,7,40722.35,40753.51,40697.5,40588.12,473.94,19281277.39
1650355200,2022-04-19,8,40697.5,40864.93,40728.78,40679.85,358.45,14616117.79
1650358800,2022-04-19,9,40728.78,40774.04,40673.64,40591.04,475.0,19321261.24
1650362400,2022-04-19,10,40673.64,40821.34,40807.3,40648.19,337.54,13748747.36
1650366000,2022-04-19,11,40807.3,41003.21,40707.24,40686.65,551.12,22509419.18
1650369600,2022-04-19,12,40707.24,41112.23,40971.33,40676.33,724.03,29644056.62
1650373200,2022-04-19,13,40971.33,41475.62,41463.6,40862.64,1957.71,80600017.54
1650376800,2022-04-19,14,41463.6,41703.62,41585.34,41418.34,2711.16,112702424.27
1650380400,2022-04-19,15,41585.34,41755.93,41472.15,41400.22,1688.27,70202326.43
1650384000,2022-04-19,16,41472.15,41556.78,41354.03,41255.88,896.76,37133597.42
1650387600,2022-04-19,17,41354.03,41381.93,41360.76,41183.64,660.1,27261010.98
1650391200,2022-04-19,18,41360.76,41512.43,41412.19,41330.04,728.29,30159059.66
1650394800,2022-04-19,19,41412.19,41552.73,41446.47,41371.7,771.62,31996505.92
1650398400,2022-04-19,20,41446.47,41446.47,41300.74,41213.78,1120.87,46277184.35
1650402000,2022-04-19,21,41300.74,41398.79,41323.59,41272.56,536.16,22152088.21
1650405600,2022-04-19,22,41323.59,41472.84,41403.28,41281.08,431.95,17879032.21
1650409200,2022-04-19,23,41403.28,41543.02,41504.44,41403.2,389.01,16136320.23
1650412800,2022-04-20,0,41504.44,41556.09,41314.03,41279.75,550.3,22802348.94
1650416400,2022-04-20,1,41314.03,41396.05,41370.59,41243.88,449.41,18579280.39
1650420000,2022-04-20,2,41370.59,41409.31,41391.75,41330.07,445.8,18443727.54
1650423600,2022-04-20,3,41391.75,41413.08,41408.13,41316.72,510.57,21131932.64
1650427200,2022-04-20,4,41408.13,41410.08,41357.2,41287.34,472.37,19532563.96
1650430800,2022-04-20,5,41357.2,41461.72,41459.37,41315.73,749.22,31020714.15
1650434400,2022-04-20,6,41459.37,41482.29,41481.43,41400.06,483.39,20033895.11
1650438000,2022-04-20,7,41481.43,41627.77,41363.49,41307.38,768.49,31848365.99
1650441600,2022-04-20,8,41363.49,41538.56,41502.07,41331.02,591.38,24507181.22
1650445200,2022-04-20,9,41502.07,41717.79,41563.51,41480.25,956.21,39760169.36
1650448800,2022-04-20,10,41563.51,41910.59,41835.66,41472.51,1697.41,70877473.79
1650452400,2022-04-20,11,41835.66,42208.1,42129.98,41732.26,2578.76,108321710.84
1650456000,2022-04-20,12,42129.98,42192.24,42126.17,41959.59,1303.67,54870443.04
1650459600,2022-04-20,13,42126.17,42136.18,41592.97,41495.59,2396.89,100171441.12
1650463200,2022-04-20,14,41592.97,41758.55,41569.4,41527.73,1587.89,66104793.81
1650466800,2022-04-20,15,41569.4,41579.45,41275.43,41066.15,2167.04,89383894.71
1650470400,2022-04-20,16,41275.43,41411.99,41392.81,41050.87,1365.04,56303316.24
1650474000,2022-04-20,17,41392.81,41462.16,41382.74,41299.43,994.78,41154501.75
1650477600,2022-04-20,18,41382.74,41382.74,40975.64,40919.04,1669.62,68599838.18
1650481200,2022-04-20,19,40975.64,41277.79,41201.7,40955.01,1094.66,45054414.21
1650484800,2022-04-20,20,41201.7,41450.2,41434.64,41156.24,920.42,38002280.96
1650488400,2022-04-20,21,41434.64,41667.34,41520.67,41397.28,792.02,32863516.87
1650492000,2022-04-20,22,41520.67,41631.9,41491.47,41460.92,626.88,26036235.34
1650495600,2022-04-20,23,41491.47,41501.42,41375.35,41309.02,662.09,27410831.03
1650499200,2022-04-21,0,41375.35,41586.72,41554.16,41336.97,831.81,34509416.26
